host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 1420, load = 0, store = 0
tb total cycle cnt = 1430, load = 0, store = 0
tb total cycle cnt = 1440, load = 0, store = 0
tb total cycle cnt = 1450, load = 0, store = 0
tb total cycle cnt = 1460, load = 0, store = 0
tb total cycle cnt = 1470, load = 0, store = 0
tb total cycle cnt = 1480, load = 0, store = 0
tb total cycle cnt = 1490, load = 0, store = 0
tb total cycle cnt = 1500, load = 0, store = 0
tb total cycle cnt = 1510, load = 0, store = 0
tb total cycle cnt = 1520, load = 0, store = 0
tb total cycle cnt = 1530, load = 0, store = 0
tb total cycle cnt = 1540, load = 0, store = 0
tb total cycle cnt = 1550, load = 0, store = 0
tb total cycle cnt = 1560, load = 0, store = 0
tb total cycle cnt = 1570, load = 0, store = 0
tb total cycle cnt = 1580, load = 0, store = 0
tb total cycle cnt = 1590, load = 0, store = 0
tb total cycle cnt = 1600, load = 0, store = 0
tb total cycle cnt = 1610, load = 0, store = 0
tb total cycle cnt = 1620, load = 0, store = 0
tb total cycle cnt = 1630, load = 0, store = 0
tb total cycle cnt = 1640, load = 0, store = 0
tb total cycle cnt = 1650, load = 0, store = 0
tb total cycle cnt = 1660, load = 0, store = 0
tb total cycle cnt = 1670, load = 0, store = 0
tb total cycle cnt = 1680, load = 0, store = 0
tb total cycle cnt = 1690, load = 0, store = 0
tb total cycle cnt = 1700, load = 0, store = 0
tb total cycle cnt = 1710, load = 0, store = 0
tb total cycle cnt = 1720, load = 0, store = 0
tb total cycle cnt = 1730, load = 0, store = 0
tb total cycle cnt = 1740, load = 0, store = 0
tb total cycle cnt = 1750, load = 0, store = 0
tb total cycle cnt = 1760, load = 0, store = 0
tb total cycle cnt = 1770, load = 0, store = 0
tb total cycle cnt = 1780, load = 0, store = 0
tb total cycle cnt = 1790, load = 0, store = 0
tb total cycle cnt = 1800, load = 0, store = 0
tb total cycle cnt = 1810, load = 0, store = 0
tb total cycle cnt = 1820, load = 0, store = 0
tb total cycle cnt = 1830, load = 0, store = 0
tb total cycle cnt = 1840, load = 0, store = 0
tb total cycle cnt = 1850, load = 0, store = 0
tb total cycle cnt = 1860, load = 0, store = 0
tb total cycle cnt = 1870, load = 0, store = 0
tb total cycle cnt = 1880, load = 0, store = 0
tb total cycle cnt = 1890, load = 0, store = 0
tb total cycle cnt = 1900, load = 0, store = 0
tb total cycle cnt = 1910, load = 0, store = 0
tb total cycle cnt = 1920, load = 0, store = 0
tb total cycle cnt = 1930, load = 0, store = 0
tb total cycle cnt = 1940, load = 0, store = 0
tb total cycle cnt = 1950, load = 0, store = 0
tb total cycle cnt = 1960, load = 0, store = 0
tb total cycle cnt = 1970, load = 0, store = 0
tb total cycle cnt = 1980, load = 0, store = 0
tb total cycle cnt = 1990, load = 0, store = 0
tb total cycle cnt = 2000, load = 0, store = 0
tb total cycle cnt = 2010, load = 0, store = 0
tb total cycle cnt = 2020, load = 0, store = 0
tb total cycle cnt = 2030, load = 0, store = 0
tb total cycle cnt = 2040, load = 0, store = 0
tb total cycle cnt = 2050, load = 0, store = 0
tb total cycle cnt = 2060, load = 0, store = 0
tb total cycle cnt = 2070, load = 0, store = 0
tb total cycle cnt = 2080, load = 0, store = 0
tb total cycle cnt = 2090, load = 0, store = 0
tb total cycle cnt = 2100, load = 0, store = 0
tb total cycle cnt = 2110, load = 0, store = 0
tb total cycle cnt = 2120, load = 0, store = 0
tb total cycle cnt = 2130, load = 0, store = 0
tb total cycle cnt = 2140, load = 0, store = 0
tb total cycle cnt = 2150, load = 0, store = 0
tb total cycle cnt = 2160, load = 0, store = 0
tb total cycle cnt = 2170, load = 0, store = 0
tb total cycle cnt = 2180, load = 0, store = 0
tb total cycle cnt = 2190, load = 0, store = 0
tb total cycle cnt = 2200, load = 0, store = 0
tb total cycle cnt = 2210, load = 0, store = 0
tb total cycle cnt = 2220, load = 0, store = 0
tb total cycle cnt = 2230, load = 0, store = 0
tb total cycle cnt = 2240, load = 0, store = 0
tb total cycle cnt = 2250, load = 0, store = 0
tb total cycle cnt = 2260, load = 0, store = 0
tb total cycle cnt = 2270, load = 0, store = 0
tb total cycle cnt = 2280, load = 0, store = 0
tb total cycle cnt = 2290, load = 0, store = 0
tb total cycle cnt = 2300, load = 0, store = 0
tb total cycle cnt = 2310, load = 0, store = 0
tb total cycle cnt = 2320, load = 0, store = 0
tb total cycle cnt = 2330, load = 0, store = 0
tb total cycle cnt = 2340, load = 0, store = 0
tb total cycle cnt = 2350, load = 0, store = 0
tb total cycle cnt = 2360, load = 0, store = 0
tb total cycle cnt = 2370, load = 0, store = 0
tb total cycle cnt = 2380, load = 0, store = 0
tb total cycle cnt = 2390, load = 0, store = 0
tb total cycle cnt = 2400, load = 0, store = 0
tb total cycle cnt = 2410, load = 0, store = 0
tb total cycle cnt = 2420, load = 0, store = 0
tb total cycle cnt = 2430, load = 0, store = 0
tb total cycle cnt = 2440, load = 0, store = 0
tb total cycle cnt = 2450, load = 0, store = 0
tb total cycle cnt = 2460, load = 0, store = 0
tb total cycle cnt = 2470, load = 0, store = 0
tb total cycle cnt = 2480, load = 0, store = 0
tb total cycle cnt = 2490, load = 0, store = 0
tb total cycle cnt = 2500, load = 0, store = 0
tb total cycle cnt = 2510, load = 0, store = 0
tb total cycle cnt = 2520, load = 0, store = 0
tb total cycle cnt = 2530, load = 0, store = 0
tb total cycle cnt = 2540, load = 0, store = 0
